,year,month,weeknum,weekday,freq_complian,freq_motor
654,2012,1,4,2,1608,
655,2011,4,14,2,1459,
656,2007,1,1,6,1365,
657,2009,6,25,1,1468,
658,2015,9,36,3,1499,653
659,2014,4,14,5,1415,622
660,2012,5,20,2,1364,
661,2013,6,25,5,1490,690
662,2006,1,3,5,1592,
663,2011,9,38,7,1294,
664,2011,10,41,7,1191,
665,2015,7,30,1,1444,727
666,2006,5,18,2,1660,
667,2010,8,34,5,1543,
668,2009,1,3,2,1612,
669,2009,8,32,2,1604,
670,2012,7,29,5,1411,604
671,2009,9,37,4,1456,
672,2009,6,26,6,1357,
673,2006,2,8,1,1259,
674,2011,12,51,3,1464,
675,2008,12,49,2,1658,
676,2006,2,8,7,1045,
677,2013,3,12,3,1393,540
678,2011,4,14,4,1569,
679,2008,9,39,7,1290,
680,2011,8,31,1,1459,
681,2008,6,22,7,1244,
682,2006,6,25,4,1742,
683,2008,5,20,6,1359,
684,2015,5,22,7,1196,555
685,2012,1,2,4,1384,
686,2011,7,29,2,1549,
687,2015,1,4,3,1333,495
688,2012,2,8,1,1147,
689,2009,7,28,5,1445,
690,2014,3,12,2,1401,551
691,2010,9,37,5,1503,
692,2006,8,33,4,1599,
693,2010,11,44,6,1374,
694,2006,2,6,5,1474,
695,2008,5,19,5,1360,
696,2006,8,33,2,1670,
697,2014,9,38,2,1465,613
698,2011,6,26,2,1640,
699,2011,3,11,2,1529,
700,2008,5,19,3,1609,
701,2009,1,5,4,1404,
702,2013,5,18,5,1423,686
703,2012,2,7,2,1273,
704,2014,6,25,6,1411,557
705,2010,1,1,7,1108,
706,2010,8,30,7,1310,
707,2008,1,3,7,1221,
708,2009,8,35,1,1509,
709,2011,12,49,1,1400,
710,2009,11,44,7,1405,
711,2009,8,35,7,1295,
712,2015,12,51,5,1325,767
713,2008,2,6,1,1419,
714,2010,3,10,6,1027,
715,2007,11,45,4,1565,
716,2008,8,33,4,1517,
717,2015,3,12,7,1142,432
718,2015,7,31,4,1439,717
719,2006,3,9,7,1160,
720,2007,5,18,7,1270,
721,2009,8,32,4,1552,
722,2010,6,25,2,1553,
723,2008,12,50,3,1571,
724,2011,3,13,4,1387,
725,2011,12,50,6,1270,
726,2007,2,6,2,1328,
727,2012,2,8,7,1131,
728,2015,12,52,6,1122,394
729,2009,10,43,1,1341,
730,2012,3,9,7,1231,
731,2008,9,38,4,1619,
732,2006,3,10,4,1563,
733,2008,10,40,7,1234,
734,2012,9,39,3,1523,404
735,2011,9,38,4,1546,
736,2015,7,30,4,1696,622
737,2011,10,41,4,1423,
738,2012,3,13,4,1453,
739,2010,5,18,1,1372,
740,2007,11,48,4,1461,
741,2010,7,26,7,1149,
742,2013,8,34,3,1479,562
743,2009,6,26,3,1520,
744,2006,10,41,3,1469,
745,2013,1,3,3,1297,578
746,2008,12,49,5,1508,
747,2008,9,39,4,1484,
748,2007,1,4,2,1557,
749,2006,6,25,7,1288,
750,2007,5,20,4,1682,
751,2010,12,50,4,1294,
752,2015,5,22,4,1438,682
753,2011,7,29,1,1390,
754,2010,8,34,6,1309,
755,2009,7,28,6,1348,
756,2012,12,50,6,1303,523
757,2011,12,52,5,1394,
758,2014,11,45,4,1349,652
759,2014,1,5,2,1325,504
760,2009,7,31,5,1468,
